Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Completed Work Items,Lock Contentions,Gen0,Code Size,Gen1,Allocated
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,256,0.8483 ns,0.0047 ns,0.0041 ns,0.0011 ns,0.8492 ns,0.8416 ns,0.8453 ns,0.8509 ns,0.8559 ns,"1,178,891,761.0",0.0047 ns,14.00,1.883,2.000,0.0356,4,*,No,0.0000,0.0000,0.0000,0.0000,970 B,0.0000,0 B
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,512,0.8451 ns,0.0091 ns,0.0085 ns,0.0022 ns,0.8485 ns,0.8259 ns,0.8427 ns,0.8507 ns,0.8569 ns,"1,183,333,424.9",0.0091 ns,15.00,2.720,2.000,-0.8554,4,*,No,0.0000,0.0000,0.0000,0.0000,910 B,0.0000,0 B
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,1024,0.8911 ns,0.0054 ns,0.0051 ns,0.0013 ns,0.8901 ns,0.8801 ns,0.8890 ns,0.8947 ns,0.9021 ns,"1,122,216,457.7",0.0054 ns,15.00,3.095,2.000,0.0685,5,*,No,0.0000,0.0000,0.0000,0.0000,914 B,0.0000,0 B
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,2048,0.7213 ns,0.0121 ns,0.0113 ns,0.0029 ns,0.7243 ns,0.6927 ns,0.7192 ns,0.7270 ns,0.7365 ns,"1,386,469,193.8",0.0121 ns,15.00,3.563,2.000,-1.0367,3,*,No,0.0000,0.0000,0.0000,0.0000,910 B,0.0000,0 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,83.8728 ns,0.3478 ns,0.3253 ns,0.0840 ns,83.8685 ns,83.3531 ns,83.6105 ns,84.1327 ns,84.3950 ns,"11,922,810.8",0.3478 ns,15.00,1.492,2.000,0.1279,35,*,No,0.0000,0.0000,0.0000,0.0004,853 B,0.0000,40 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,32,128.3795 ns,0.3953 ns,0.3504 ns,0.0937 ns,128.4184 ns,127.7963 ns,128.1187 ns,128.6427 ns,128.9390 ns,"7,789,403.9",0.3953 ns,14.00,1.722,2.000,-0.1771,44,*,No,0.0000,0.0000,0.0000,0.0002,853 B,0.0000,40 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,64,229.2745 ns,0.6677 ns,0.5919 ns,0.1582 ns,229.2805 ns,227.6328 ns,229.0663 ns,229.4970 ns,230.2066 ns,"4,361,584.2",0.6677 ns,14.00,4.822,2.000,-1.1226,52,*,No,0.0000,0.0000,0.0000,0.0002,853 B,0.0000,40 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,128,422.2683 ns,2.7365 ns,2.2851 ns,0.6338 ns,422.9025 ns,416.6948 ns,422.3577 ns,423.5215 ns,424.4483 ns,"2,368,162.4",2.7365 ns,13.00,3.705,2.000,-1.4481,58,*,No,0.0000,0.0000,0.0000,0.0000,842 B,0.0000,40 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,256,801.9591 ns,2.8380 ns,2.6547 ns,0.6854 ns,801.9556 ns,795.7802 ns,800.7362 ns,803.1449 ns,806.4430 ns,"1,246,946.4",2.8380 ns,15.00,2.927,2.000,-0.3844,67,*,No,0.0000,0.0000,0.0000,0.0000,853 B,0.0000,40 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,512,"3,558.6966 ns",9.0797 ns,8.4931 ns,2.1929 ns,"3,557.9414 ns","3,546.8967 ns","3,551.2207 ns","3,564.1932 ns","3,573.3017 ns","281,001.8",9.0797 ns,15.00,1.635,2.000,0.2712,77,*,No,0.0000,0.0000,0.0000,0.0000,820 B,0.0000,40 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,1024,"6,570.3402 ns",38.5910 ns,36.0980 ns,9.3205 ns,"6,586.0939 ns","6,480.5870 ns","6,571.2448 ns","6,589.7736 ns","6,598.0080 ns","152,199.1",38.5910 ns,15.00,4.128,2.000,-1.6121,82,*,No,0.0000,0.0000,0.0000,0.0000,780 B,0.0000,40 B
ClearNulls,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,2048,"14,590.8509 ns",67.1803 ns,59.5536 ns,15.9164 ns,"14,594.4397 ns","14,417.3843 ns","14,588.1100 ns","14,601.4168 ns","14,665.8157 ns","68,536.1",67.1803 ns,14.00,5.543,2.000,-1.4713,85,*,No,0.0000,0.0000,0.0000,0.0000,780 B,0.0000,40 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",16,29.9442 ns,0.1524 ns,0.1351 ns,0.0361 ns,29.9314 ns,29.6848 ns,29.8757 ns,30.0537 ns,30.1487 ns,"33,395,453.4",0.1524 ns,14.00,1.948,2.000,-0.1624,27,*,No,0.0000,0.0000,0.0000,0.0016,297 B,0.0000,152 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",32,46.6535 ns,0.4379 ns,0.4097 ns,0.1058 ns,46.7947 ns,46.1147 ns,46.2600 ns,46.9698 ns,47.3444 ns,"21,434,628.4",0.4379 ns,15.00,1.393,2.000,0.0690,28,*,No,0.0000,0.0000,0.0000,0.0030,297 B,0.0000,280 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",64,80.6031 ns,0.4534 ns,0.4241 ns,0.1095 ns,80.6054 ns,79.9176 ns,80.3032 ns,80.8791 ns,81.3436 ns,"12,406,463.6",0.4534 ns,15.00,1.684,2.000,0.0284,34,*,No,0.0000,0.0000,0.0000,0.0058,297 B,0.0000,536 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",128,144.9158 ns,0.7034 ns,0.6580 ns,0.1699 ns,144.6279 ns,144.1863 ns,144.3652 ns,145.3756 ns,146.0507 ns,"6,900,558.2",0.7034 ns,15.00,1.638,2.000,0.5333,46,*,No,0.0000,0.0000,0.0000,0.0114,297 B,0.0000,1048 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",256,277.7745 ns,1.2630 ns,1.1814 ns,0.3050 ns,277.6217 ns,275.7890 ns,277.0046 ns,278.5627 ns,279.9918 ns,"3,600,043.0",1.2630 ns,15.00,2.048,2.000,0.3313,54,*,No,0.0000,0.0000,0.0000,0.0224,297 B,0.0000,2072 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",512,561.4691 ns,4.0183 ns,3.7587 ns,0.9705 ns,560.7476 ns,556.2754 ns,558.8715 ns,564.7551 ns,567.7176 ns,"1,781,041.9",4.0183 ns,15.00,1.635,2.000,0.2438,61,*,No,0.0000,0.0000,0.0000,0.0448,297 B,0.0000,4120 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",1024,"1,064.1403 ns",3.1913 ns,2.9852 ns,0.7708 ns,"1,063.2042 ns","1,059.6748 ns","1,062.2939 ns","1,066.0901 ns","1,069.8601 ns","939,725.7",3.1913 ns,15.00,1.924,2.000,0.4095,68,*,No,0.0000,0.0000,0.0000,0.0877,297 B,0.0000,8216 B
CopyTo(),Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",2048,"2,209.0353 ns",9.6495 ns,9.0262 ns,2.3305 ns,"2,208.0036 ns","2,197.2927 ns","2,202.5290 ns","2,213.6049 ns","2,226.1551 ns","452,686.3",9.6495 ns,15.00,1.888,2.000,0.3208,73,*,No,0.0000,0.0000,0.0000,0.1755,297 B,0.0000,16408 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,11.0286 ns,0.0585 ns,0.0548 ns,0.0141 ns,11.0125 ns,10.9607 ns,10.9852 ns,11.0709 ns,11.1198 ns,"90,673,730.3",0.0585 ns,15.00,1.605,2.000,0.4746,22,*,No,0.0000,0.0000,0.0000,0.0003,501 B,0.0000,24 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,32,10.6986 ns,0.0378 ns,0.0335 ns,0.0089 ns,10.7055 ns,10.6427 ns,10.6755 ns,10.7175 ns,10.7694 ns,"93,470,082.5",0.0378 ns,14.00,2.434,2.000,0.0885,21,*,No,0.0000,0.0000,0.0000,0.0003,501 B,0.0000,24 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,64,10.6413 ns,0.0435 ns,0.0407 ns,0.0105 ns,10.6372 ns,10.5722 ns,10.6199 ns,10.6702 ns,10.7077 ns,"93,973,044.8",0.0435 ns,15.00,1.859,2.000,-0.0324,21,*,No,0.0000,0.0000,0.0000,0.0003,501 B,0.0000,24 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,128,11.1548 ns,0.0386 ns,0.0342 ns,0.0091 ns,11.1595 ns,11.0875 ns,11.1484 ns,11.1730 ns,11.2020 ns,"89,647,584.6",0.0386 ns,14.00,2.423,2.000,-0.6294,22,*,No,0.0000,0.0000,0.0000,0.0003,501 B,0.0000,24 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,256,11.3652 ns,0.1041 ns,0.0973 ns,0.0251 ns,11.3712 ns,11.1233 ns,11.3604 ns,11.4281 ns,11.4721 ns,"87,988,123.0",0.1041 ns,15.00,3.844,2.000,-1.3590,23,*,No,0.0000,0.0000,0.0000,0.0003,567 B,0.0000,24 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,512,12.4338 ns,0.0432 ns,0.0404 ns,0.0104 ns,12.4344 ns,12.3690 ns,12.4059 ns,12.4596 ns,12.5078 ns,"80,426,244.2",0.0432 ns,15.00,1.901,2.000,0.0943,24,*,No,0.0000,0.0000,0.0000,0.0003,534 B,0.0000,24 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,1024,12.7072 ns,0.0410 ns,0.0383 ns,0.0099 ns,12.7152 ns,12.6211 ns,12.6901 ns,12.7336 ns,12.7620 ns,"78,695,256.3",0.0410 ns,15.00,2.517,2.000,-0.7551,25,*,No,0.0000,0.0000,0.0000,0.0003,523 B,0.0000,24 B
CopyToCollection,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,2048,13.8079 ns,0.0453 ns,0.0401 ns,0.0107 ns,13.7972 ns,13.7577 ns,13.7758 ns,13.8217 ns,13.8867 ns,"72,422,077.7",0.0453 ns,14.00,2.087,2.000,0.6524,26,*,No,0.0000,0.0000,0.0000,0.0002,538 B,0.0000,24 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",16,0.0012 ns,0.0024 ns,0.0022 ns,0.0006 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0014 ns,0.0078 ns,"869,342,107,649.5",0.0024 ns,15.00,5.582,2.364,1.8511,1,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",32,0.0001 ns,0.0004 ns,0.0004 ns,0.0001 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0014 ns,"8,431,644,518,898.5",0.0004 ns,15.00,9.706,2.000,2.7867,1,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",64,0.0022 ns,0.0027 ns,0.0025 ns,0.0007 ns,0.0015 ns,0.0000 ns,0.0000 ns,0.0032 ns,0.0073 ns,"454,851,999,457.8",0.0027 ns,15.00,2.163,2.364,0.8439,1,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",128,0.0020 ns,0.0033 ns,0.0031 ns,0.0008 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0026 ns,0.0083 ns,"507,276,406,447.8",0.0033 ns,15.00,2.628,2.222,1.1626,1,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",256,0.0013 ns,0.0023 ns,0.0020 ns,0.0005 ns,0.0001 ns,0.0000 ns,0.0000 ns,0.0018 ns,0.0060 ns,"751,574,182,349.1",0.0023 ns,14.00,2.935,2.000,1.1927,1,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",512,0.2431 ns,0.0069 ns,0.0065 ns,0.0017 ns,0.2441 ns,0.2258 ns,0.2390 ns,0.2475 ns,0.2512 ns,"4,113,170,007.8",0.0069 ns,15.00,3.746,2.000,-1.0409,2,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",1024,0.0014 ns,0.0023 ns,0.0022 ns,0.0006 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0024 ns,0.0061 ns,"700,497,875,819.8",0.0023 ns,15.00,2.893,2.200,1.1682,1,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
Count,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**FOR COMPARISON**,**NEW**",2048,0.2388 ns,0.0105 ns,0.0098 ns,0.0025 ns,0.2424 ns,0.2170 ns,0.2362 ns,0.2443 ns,0.2498 ns,"4,187,017,063.8",0.0105 ns,15.00,3.070,2.000,-1.1449,2,*,No,0.0000,0.0000,0.0000,0.0000,18 B,0.0000,0 B
DoesNotHaveItems,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,48.3156 ns,0.1769 ns,0.1568 ns,0.0419 ns,48.3089 ns,48.1250 ns,48.1713 ns,48.3999 ns,48.6102 ns,"20,697,239.8",0.1769 ns,14.00,1.668,2.000,0.3242,29,*,No,0.0000,0.0000,0.0000,0.0004,400 B,0.0000,40 B
